id,OBJECTID,postcode,naam,Shape_Length,Shape_Area
14,2801,2610,2610,21853.0384802635,13710315.4651912
1,2802,2660,2660,14852.7978301898,10517954.9204845
2,2803,2600,2600,11185.3510373093,5698186.37784104
3,2804,2140,2140,11148.8791991305,3899738.91916374
4,2805,2100,2100,22512.5710361623,13026919.8504171
5,2806,2170,2170,12515.8265498376,8417233.71458194
6,2807,2040,2040,36446.060720199,52434553.3234356
7,2808,2180,2180,18820.3021451041,13480242.6902224
8,2809,2000,2000,12465.7039743283,5773496.60263766
9,2810,2018,2018,13162.2690096702,5208408.76952033
10,2811,2050,2050,14164.8294701088,11860645.7773181
11,2812,2060,2060,8327.76845249353,3282082.9143384
12,2813,2030,2030,34644.8668780823,49206637.3794966
13,2814,2020,2020,16309.6575321813,7851767.74438204
